log_id,customer_id,chat_text,sentiment_label,keywords_detected
LOG00053,CUST03117,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00054,CUST07922,I love the new mobile app features.,positive,
LOG00055,CUST08580,What documents are needed for a loan application?,neutral,
LOG00056,CUST05364,I need to know the branch hours.,neutral,
LOG00057,CUST01610,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00058,CUST02175,"Excellent experience overall, keep it up.",positive,
LOG00059,CUST00599,My card was charged twice and no one is fixing it.,negative,
LOG00060,CUST06351,Can I increase my credit limit?,neutral,
LOG00061,CUST08559,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00062,CUST00068,How do I update my contact details?,neutral,
LOG00063,CUST00722,I need to know the branch hours.,neutral,
LOG00064,CUST09737,What documents are needed for a loan application?,neutral,
LOG00065,CUST05461,"Thank you, the issue has been resolved quickly.",positive,
LOG00066,CUST00756,The loan was approved faster than expected – very pleased.,positive,
LOG00067,CUST08530,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00068,CUST00369,I am very unhappy with how my complaint was handled.,negative,
LOG00069,CUST03439,I am very unhappy with how my complaint was handled.,negative,
LOG00070,CUST03286,Why is my loan application still pending? Terrible process.,negative,
LOG00071,CUST04696,My card was charged twice and no one is fixing it.,negative,
LOG00072,CUST08721,I love the new mobile app features.,positive,
LOG00073,CUST07228,I love the new mobile app features.,positive,
LOG00074,CUST04468,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00075,CUST02581,What are the current interest rates for savings accounts?,neutral,
LOG00076,CUST01876,I need to know the branch hours.,neutral,
LOG00077,CUST09169,"Thank you, the issue has been resolved quickly.",positive,
LOG00078,CUST01678,Please send me my account statement.,neutral,
LOG00079,CUST08889,My card was charged twice and no one is fixing it.,negative,
LOG00080,CUST09001,Why is my loan application still pending? Terrible process.,negative,
LOG00081,CUST04441,I need to know the branch hours.,neutral,
LOG00082,CUST04642,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00083,CUST04012,Please send me my account statement.,neutral,
LOG00084,CUST01168,"Great customer service, very helpful team.",positive,
LOG00085,CUST05550,I need to know the branch hours.,neutral,
LOG00086,CUST00832,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00087,CUST00476,"Great customer service, very helpful team.",positive,
LOG00088,CUST00827,Can I increase my credit limit?,neutral,
LOG00089,CUST06285,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00090,CUST01411,I cannot access my account – it seems blocked.,negative,blocked
LOG00091,CUST06422,Account blocked again. This is the third time this month.,negative,blocked
LOG00092,CUST09767,What are the current interest rates for savings accounts?,neutral,
LOG00093,CUST07305,"Excellent experience overall, keep it up.",positive,
LOG00094,CUST05827,Please send me my account statement.,neutral,
LOG00095,CUST05445,I am very unhappy with how my complaint was handled.,negative,
LOG00096,CUST08741,What are the current interest rates for savings accounts?,neutral,
LOG00097,CUST07630,"Thank you, the issue has been resolved quickly.",positive,
LOG00098,CUST02160,Please send me my account statement.,neutral,
LOG00099,CUST07673,"Thank you, the issue has been resolved quickly.",positive,
LOG00100,CUST07465,"Thank you, the issue has been resolved quickly.",positive,
LOG00101,CUST07626,I am very unhappy with how my complaint was handled.,negative,
LOG00102,CUST03797,The loan was approved faster than expected – very pleased.,positive,
LOG00103,CUST02355,What are the current interest rates for savings accounts?,neutral,
LOG00104,CUST04228,Please send me my account statement.,neutral,
LOG00105,CUST06424,Why is my loan application still pending? Terrible process.,negative,
LOG00106,CUST05413,What are the current interest rates for savings accounts?,neutral,
LOG00107,CUST07427,Why is my loan application still pending? Terrible process.,negative,
LOG00108,CUST00496,Can I increase my credit limit?,neutral,
LOG00109,CUST07788,How do I update my contact details?,neutral,
LOG00110,CUST05759,"Thank you, the issue has been resolved quickly.",positive,
LOG00111,CUST07557,The loan was approved faster than expected – very pleased.,positive,
LOG00112,CUST04625,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00113,CUST09904,I need to know the branch hours.,neutral,
LOG00114,CUST08323,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00115,CUST06647,"Thank you, the issue has been resolved quickly.",positive,
LOG00116,CUST01753,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00117,CUST09112,Why is my loan application still pending? Terrible process.,negative,
LOG00118,CUST01163,What documents are needed for a loan application?,neutral,
LOG00119,CUST08729,I need to know the branch hours.,neutral,
LOG00120,CUST06567,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00121,CUST06774,"Excellent experience overall, keep it up.",positive,
LOG00122,CUST03993,What are the current interest rates for savings accounts?,neutral,
LOG00123,CUST02606,"Excellent experience overall, keep it up.",positive,
LOG00124,CUST06289,Can I increase my credit limit?,neutral,
LOG00125,CUST05583,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00126,CUST09683,My card was charged twice and no one is fixing it.,negative,
LOG00127,CUST07133,Account blocked again. This is the third time this month.,negative,blocked
LOG00128,CUST05607,"Excellent experience overall, keep it up.",positive,
LOG00129,CUST03870,"Excellent experience overall, keep it up.",positive,
LOG00130,CUST01277,"Great customer service, very helpful team.",positive,
LOG00131,CUST01874,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00132,CUST05331,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00133,CUST01600,"Excellent experience overall, keep it up.",positive,
LOG00134,CUST02887,The loan was approved faster than expected – very pleased.,positive,
LOG00135,CUST06649,I am very unhappy with how my complaint was handled.,negative,
LOG00136,CUST09802,How do I update my contact details?,neutral,
LOG00137,CUST09772,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00138,CUST05365,The loan was approved faster than expected – very pleased.,positive,
LOG00139,CUST01008,The loan was approved faster than expected – very pleased.,positive,
LOG00140,CUST03566,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00141,CUST09516,What are the current interest rates for savings accounts?,neutral,
LOG00142,CUST00004,What documents are needed for a loan application?,neutral,
LOG00143,CUST02445,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00144,CUST08705,The loan was approved faster than expected – very pleased.,positive,
LOG00145,CUST06390,I need to know the branch hours.,neutral,
LOG00146,CUST03206,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00147,CUST05188,What are the current interest rates for savings accounts?,neutral,
LOG00148,CUST09344,I love the new mobile app features.,positive,
LOG00149,CUST07123,I am very unhappy with how my complaint was handled.,negative,
LOG00150,CUST01463,Why is my loan application still pending? Terrible process.,negative,
LOG00151,CUST00134,"Excellent experience overall, keep it up.",positive,
LOG00152,CUST08363,Please send me my account statement.,neutral,
LOG00153,CUST02090,Can I increase my credit limit?,neutral,
LOG00154,CUST01023,I need to know the branch hours.,neutral,
LOG00155,CUST08993,Why is my loan application still pending? Terrible process.,negative,
LOG00156,CUST00014,I cannot access my account – it seems blocked.,negative,blocked
LOG00157,CUST01798,Why is my loan application still pending? Terrible process.,negative,
LOG00158,CUST00511,I need to know the branch hours.,neutral,
LOG00159,CUST07074,My card was charged twice and no one is fixing it.,negative,
LOG00160,CUST05213,Account blocked again. This is the third time this month.,negative,blocked
LOG00161,CUST06653,Account blocked again. This is the third time this month.,negative,blocked
LOG00162,CUST07131,Can I increase my credit limit?,neutral,
LOG00163,CUST02842,My card was charged twice and no one is fixing it.,negative,
LOG00164,CUST02279,The loan was approved faster than expected – very pleased.,positive,
LOG00165,CUST09101,"Great customer service, very helpful team.",positive,
LOG00166,CUST05903,Account blocked again. This is the third time this month.,negative,blocked
LOG00167,CUST02528,Account blocked again. This is the third time this month.,negative,blocked
LOG00168,CUST02057,I need to know the branch hours.,neutral,
LOG00169,CUST00191,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00170,CUST00258,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00171,CUST07975,"Great customer service, very helpful team.",positive,
LOG00172,CUST07156,What documents are needed for a loan application?,neutral,
LOG00173,CUST01388,What are the current interest rates for savings accounts?,neutral,
LOG00174,CUST06814,"Great customer service, very helpful team.",positive,
LOG00175,CUST09903,The loan was approved faster than expected – very pleased.,positive,
LOG00176,CUST02946,Account blocked again. This is the third time this month.,negative,blocked
LOG00177,CUST08347,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00178,CUST09045,Can I increase my credit limit?,neutral,
LOG00179,CUST06304,Can I increase my credit limit?,neutral,
LOG00180,CUST03699,I need to know the branch hours.,neutral,
LOG00181,CUST06960,"Great customer service, very helpful team.",positive,
LOG00182,CUST00122,Please send me my account statement.,neutral,
LOG00183,CUST08162,"Excellent experience overall, keep it up.",positive,
LOG00184,CUST08221,My card was charged twice and no one is fixing it.,negative,
LOG00185,CUST06732,I need to know the branch hours.,neutral,
LOG00186,CUST00549,Why is my loan application still pending? Terrible process.,negative,
LOG00187,CUST09309,"Thank you, the issue has been resolved quickly.",positive,
LOG00188,CUST06039,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00189,CUST09508,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00190,CUST01312,Can I increase my credit limit?,neutral,
LOG00191,CUST08625,What are the current interest rates for savings accounts?,neutral,
LOG00192,CUST07618,I am very unhappy with how my complaint was handled.,negative,
LOG00193,CUST08575,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00194,CUST01450,"Excellent experience overall, keep it up.",positive,
LOG00195,CUST07741,What are the current interest rates for savings accounts?,neutral,
LOG00196,CUST01280,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00197,CUST08835,What documents are needed for a loan application?,neutral,
LOG00198,CUST00865,I am very unhappy with how my complaint was handled.,negative,
LOG00199,CUST08766,I love the new mobile app features.,positive,
LOG00200,CUST07682,"Thank you, the issue has been resolved quickly.",positive,
LOG00201,CUST08400,The loan was approved faster than expected – very pleased.,positive,
LOG00202,CUST09404,The loan was approved faster than expected – very pleased.,positive,
LOG00203,CUST05432,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00204,CUST05783,Account blocked again. This is the third time this month.,negative,blocked
LOG00205,CUST04739,I need to know the branch hours.,neutral,
LOG00206,CUST00579,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00207,CUST09792,What documents are needed for a loan application?,neutral,
LOG00208,CUST09236,I am very unhappy with how my complaint was handled.,negative,
LOG00209,CUST01007,I need to know the branch hours.,neutral,
LOG00210,CUST07753,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00211,CUST09386,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00212,CUST04781,"Thank you, the issue has been resolved quickly.",positive,
LOG00213,CUST00448,What documents are needed for a loan application?,neutral,
LOG00214,CUST07943,I need to know the branch hours.,neutral,
LOG00215,CUST02078,"Thank you, the issue has been resolved quickly.",positive,
LOG00216,CUST01260,"Excellent experience overall, keep it up.",positive,
LOG00217,CUST04130,I need to know the branch hours.,neutral,
LOG00218,CUST04604,"Great customer service, very helpful team.",positive,
LOG00219,CUST04210,I am very unhappy with how my complaint was handled.,negative,
LOG00220,CUST01828,I cannot access my account – it seems blocked.,negative,blocked
LOG00221,CUST02861,"Excellent experience overall, keep it up.",positive,
LOG00222,CUST02477,Please send me my account statement.,neutral,
LOG00223,CUST07318,What documents are needed for a loan application?,neutral,
LOG00224,CUST02874,I love the new mobile app features.,positive,
LOG00225,CUST03870,I am very unhappy with how my complaint was handled.,negative,
LOG00226,CUST02963,Can I increase my credit limit?,neutral,
LOG00227,CUST00543,Please send me my account statement.,neutral,
LOG00228,CUST01383,I love the new mobile app features.,positive,
LOG00229,CUST09758,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00230,CUST08126,"Great customer service, very helpful team.",positive,
LOG00231,CUST06278,Account blocked again. This is the third time this month.,negative,blocked
LOG00232,CUST07212,My card was charged twice and no one is fixing it.,negative,
LOG00233,CUST02741,What documents are needed for a loan application?,neutral,
LOG00234,CUST09466,What are the current interest rates for savings accounts?,neutral,
LOG00235,CUST00891,Why is my loan application still pending? Terrible process.,negative,
LOG00236,CUST01901,I am very unhappy with how my complaint was handled.,negative,
LOG00237,CUST02746,"Thank you, the issue has been resolved quickly.",positive,
LOG00238,CUST06534,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00239,CUST04938,Can I increase my credit limit?,neutral,
LOG00240,CUST08725,Can I increase my credit limit?,neutral,
LOG00241,CUST06223,What are the current interest rates for savings accounts?,neutral,
LOG00242,CUST06391,What documents are needed for a loan application?,neutral,
LOG00243,CUST04303,Can I increase my credit limit?,neutral,
LOG00244,CUST08691,"Great customer service, very helpful team.",positive,
LOG00245,CUST00195,Account blocked again. This is the third time this month.,negative,blocked
LOG00246,CUST07354,I love the new mobile app features.,positive,
LOG00247,CUST05173,Account blocked again. This is the third time this month.,negative,blocked
LOG00248,CUST00673,Please send me my account statement.,neutral,
LOG00249,CUST08705,How do I update my contact details?,neutral,
LOG00250,CUST07075,Why is my loan application still pending? Terrible process.,negative,
LOG00251,CUST05489,I am very unhappy with how my complaint was handled.,negative,
LOG00252,CUST04376,I love the new mobile app features.,positive,
LOG00253,CUST04184,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00254,CUST09572,What documents are needed for a loan application?,neutral,
LOG00255,CUST07555,The loan was approved faster than expected – very pleased.,positive,
LOG00256,CUST03962,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00257,CUST08519,My card was charged twice and no one is fixing it.,negative,
LOG00258,CUST02948,Why is my loan application still pending? Terrible process.,negative,
LOG00259,CUST08973,Why is my loan application still pending? Terrible process.,negative,
LOG00260,CUST00139,"Thank you, the issue has been resolved quickly.",positive,
LOG00261,CUST00196,"Thank you, the issue has been resolved quickly.",positive,
LOG00262,CUST01601,The loan was approved faster than expected – very pleased.,positive,
LOG00263,CUST01703,Please send me my account statement.,neutral,
LOG00264,CUST05760,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00265,CUST04642,"Great customer service, very helpful team.",positive,
LOG00266,CUST03164,I love the new mobile app features.,positive,
LOG00267,CUST00389,How do I update my contact details?,neutral,
LOG00268,CUST01507,"Excellent experience overall, keep it up.",positive,
LOG00269,CUST09735,How do I update my contact details?,neutral,
LOG00270,CUST09821,My card was charged twice and no one is fixing it.,negative,
LOG00271,CUST01996,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00272,CUST01416,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00273,CUST02129,Please send me my account statement.,neutral,
LOG00274,CUST09275,The loan was approved faster than expected – very pleased.,positive,
LOG00275,CUST01817,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00276,CUST04151,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00277,CUST07651,I am very unhappy with how my complaint was handled.,negative,
LOG00278,CUST01241,What documents are needed for a loan application?,neutral,
LOG00279,CUST04529,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00280,CUST05299,Can I increase my credit limit?,neutral,
LOG00281,CUST02654,I love the new mobile app features.,positive,
LOG00282,CUST04544,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00283,CUST06272,How do I update my contact details?,neutral,
LOG00284,CUST05451,Account blocked again. This is the third time this month.,negative,blocked
LOG00285,CUST04231,How do I update my contact details?,neutral,
LOG00286,CUST02916,I love the new mobile app features.,positive,
LOG00287,CUST01138,The loan was approved faster than expected – very pleased.,positive,
LOG00288,CUST03288,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00289,CUST06433,Please send me my account statement.,neutral,
LOG00290,CUST08062,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00291,CUST02358,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00292,CUST07066,"Excellent experience overall, keep it up.",positive,
LOG00293,CUST01741,What are the current interest rates for savings accounts?,neutral,
LOG00294,CUST04244,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00295,CUST00572,"Thank you, the issue has been resolved quickly.",positive,
LOG00296,CUST01154,How do I update my contact details?,neutral,
LOG00297,CUST04106,Please send me my account statement.,neutral,
LOG00298,CUST00308,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00299,CUST02439,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00300,CUST00015,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00301,CUST06398,"Thank you, the issue has been resolved quickly.",positive,
LOG00302,CUST02484,I need to know the branch hours.,neutral,
LOG00303,CUST05404,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00304,CUST09415,Can I increase my credit limit?,neutral,
LOG00305,CUST08445,I cannot access my account – it seems blocked.,negative,blocked
LOG00306,CUST07834,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00307,CUST06618,Account blocked again. This is the third time this month.,negative,blocked
LOG00308,CUST01149,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00309,CUST03701,"Excellent experience overall, keep it up.",positive,
LOG00310,CUST06299,"Thank you, the issue has been resolved quickly.",positive,
LOG00311,CUST07899,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00312,CUST09294,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00313,CUST05464,Why is my loan application still pending? Terrible process.,negative,
LOG00314,CUST06564,I am very unhappy with how my complaint was handled.,negative,
LOG00315,CUST01486,"Thank you, the issue has been resolved quickly.",positive,
LOG00316,CUST08760,I love the new mobile app features.,positive,
LOG00317,CUST01319,I need to know the branch hours.,neutral,
LOG00318,CUST04751,Can I increase my credit limit?,neutral,
LOG00319,CUST02894,My card was charged twice and no one is fixing it.,negative,
LOG00320,CUST00645,"Excellent experience overall, keep it up.",positive,
LOG00321,CUST03130,The loan was approved faster than expected – very pleased.,positive,
LOG00322,CUST06392,I love the new mobile app features.,positive,
LOG00323,CUST05887,"Thank you, the issue has been resolved quickly.",positive,
LOG00324,CUST01391,The loan was approved faster than expected – very pleased.,positive,
LOG00325,CUST03105,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00326,CUST00585,"Great customer service, very helpful team.",positive,
LOG00327,CUST00416,My card was charged twice and no one is fixing it.,negative,
LOG00328,CUST09715,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00329,CUST08016,"Great customer service, very helpful team.",positive,
LOG00330,CUST01033,The loan was approved faster than expected – very pleased.,positive,
LOG00331,CUST05042,"Excellent experience overall, keep it up.",positive,
LOG00332,CUST08749,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00333,CUST00269,The loan was approved faster than expected – very pleased.,positive,
LOG00334,CUST05559,I cannot access my account – it seems blocked.,negative,blocked
LOG00335,CUST05534,"Thank you, the issue has been resolved quickly.",positive,
LOG00336,CUST00702,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00337,CUST01937,Account blocked again. This is the third time this month.,negative,blocked
LOG00338,CUST08571,"Great customer service, very helpful team.",positive,
LOG00339,CUST08792,Can I increase my credit limit?,neutral,
LOG00340,CUST09493,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00341,CUST01181,"Great customer service, very helpful team.",positive,
LOG00342,CUST02320,I cannot access my account – it seems blocked.,negative,blocked
LOG00343,CUST00313,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00344,CUST00751,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00345,CUST02139,My card was charged twice and no one is fixing it.,negative,
LOG00346,CUST02823,"Thank you, the issue has been resolved quickly.",positive,
LOG00347,CUST00819,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00348,CUST01595,I am very unhappy with how my complaint was handled.,negative,
LOG00349,CUST02797,Can I increase my credit limit?,neutral,
LOG00350,CUST01048,Please send me my account statement.,neutral,
LOG00351,CUST01871,"Thank you, the issue has been resolved quickly.",positive,
LOG00352,CUST09749,Can I increase my credit limit?,neutral,
LOG00353,CUST03614,"Excellent experience overall, keep it up.",positive,
LOG00354,CUST03321,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00355,CUST05528,The loan was approved faster than expected – very pleased.,positive,
LOG00356,CUST05313,Account blocked again. This is the third time this month.,negative,blocked
LOG00357,CUST09437,"Thank you, the issue has been resolved quickly.",positive,
LOG00358,CUST05269,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00359,CUST00747,My card was charged twice and no one is fixing it.,negative,
LOG00360,CUST02842,Please send me my account statement.,neutral,
LOG00361,CUST01036,I love the new mobile app features.,positive,
LOG00362,CUST04488,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00363,CUST06802,What are the current interest rates for savings accounts?,neutral,
LOG00364,CUST06061,What are the current interest rates for savings accounts?,neutral,
LOG00365,CUST02704,Please send me my account statement.,neutral,
LOG00366,CUST03992,Can I increase my credit limit?,neutral,
LOG00367,CUST02186,I cannot access my account – it seems blocked.,negative,blocked
LOG00368,CUST06163,"Thank you, the issue has been resolved quickly.",positive,
LOG00369,CUST00257,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00370,CUST01323,The loan was approved faster than expected – very pleased.,positive,
LOG00371,CUST00119,How do I update my contact details?,neutral,
LOG00372,CUST01461,"Great customer service, very helpful team.",positive,
LOG00373,CUST09728,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00374,CUST06820,I need to know the branch hours.,neutral,
LOG00375,CUST07799,What documents are needed for a loan application?,neutral,
LOG00376,CUST03378,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00377,CUST04440,What are the current interest rates for savings accounts?,neutral,
LOG00378,CUST06751,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00379,CUST02860,My card was charged twice and no one is fixing it.,negative,
LOG00380,CUST00617,"Excellent experience overall, keep it up.",positive,
LOG00381,CUST02950,"Excellent experience overall, keep it up.",positive,
LOG00382,CUST01443,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00383,CUST05700,I am very unhappy with how my complaint was handled.,negative,
LOG00384,CUST00075,Can I increase my credit limit?,neutral,
LOG00385,CUST03861,Please send me my account statement.,neutral,
LOG00386,CUST01926,My card was charged twice and no one is fixing it.,negative,
LOG00387,CUST05930,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00388,CUST08316,Please send me my account statement.,neutral,
LOG00389,CUST07606,"Great customer service, very helpful team.",positive,
LOG00390,CUST03410,What documents are needed for a loan application?,neutral,
LOG00391,CUST00870,I love the new mobile app features.,positive,
LOG00392,CUST01847,What are the current interest rates for savings accounts?,neutral,
LOG00393,CUST07773,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00394,CUST02889,Can I increase my credit limit?,neutral,
LOG00395,CUST00707,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00396,CUST05967,I cannot access my account – it seems blocked.,negative,blocked
LOG00397,CUST03434,I need to know the branch hours.,neutral,
LOG00398,CUST04119,Can I increase my credit limit?,neutral,
LOG00399,CUST07425,I need to know the branch hours.,neutral,
LOG00400,CUST01711,How do I update my contact details?,neutral,
LOG00401,CUST00860,What documents are needed for a loan application?,neutral,
LOG00402,CUST02590,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00403,CUST07948,How do I update my contact details?,neutral,
LOG00404,CUST01902,"Excellent experience overall, keep it up.",positive,
LOG00405,CUST03856,"Thank you, the issue has been resolved quickly.",positive,
LOG00406,CUST09711,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00407,CUST06866,Why is my loan application still pending? Terrible process.,negative,
LOG00408,CUST05337,What are the current interest rates for savings accounts?,neutral,
LOG00409,CUST01805,What are the current interest rates for savings accounts?,neutral,
LOG00410,CUST03732,Why is my loan application still pending? Terrible process.,negative,
LOG00411,CUST03885,"Thank you, the issue has been resolved quickly.",positive,
LOG00412,CUST06760,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00413,CUST06153,What are the current interest rates for savings accounts?,neutral,
LOG00414,CUST01205,My card was charged twice and no one is fixing it.,negative,
LOG00415,CUST09587,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00416,CUST00891,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00417,CUST02375,Account blocked again. This is the third time this month.,negative,blocked
LOG00418,CUST09985,What are the current interest rates for savings accounts?,neutral,
LOG00419,CUST02918,The loan was approved faster than expected – very pleased.,positive,
LOG00420,CUST06120,Account blocked again. This is the third time this month.,negative,blocked
LOG00421,CUST07500,What are the current interest rates for savings accounts?,neutral,
LOG00422,CUST03182,What documents are needed for a loan application?,neutral,
LOG00423,CUST04419,Why is my loan application still pending? Terrible process.,negative,
LOG00424,CUST05504,What are the current interest rates for savings accounts?,neutral,
